Country,Country_Code,DCI_Level,Institution_Level,GDP_Per_Capita_2023,Classification,CATE_Estimate,CO2_Per_Capita_2023,Renewable_Share_2023,Policy_Priority,Investment_Strategy
Argentina,ARG,Medium,Low,14261.85,Catch-up,-1.77,1832.07,17.85,Digital infrastructure + institutional reform,Mixed public-private with international support
Australia,AUS,High,High,65058.38,Leader,-2.24,4927.65,18.80,Technology export + absolute decoupling,Private sector leadership with green tech export
Austria,AUT,High,High,56741.23,Leader,-1.72,5636.58,36.47,Technology export + efficiency optimization,Private sector with regulatory standards
Bangladesh,BGD,Low,Low,2688.75,Struggling,-0.97,575.04,1.50,International aid + basic infrastructure,Donor-funded with capacity building
Belgium,BEL,High,High,62416.54,Leader,-2.10,8329.45,25.38,Technology export + grid modernization,Private sector with EU coordination
Brazil,BRA,Medium,Medium,8917.67,Catch-up,-1.34,2018.22,48.26,Smart grid + renewable integration,Mixed with green bond financing
Canada,CAN,High,High,53431.20,Exception,-0.52,15200.00,68.00,Absolute decoupling + carbon pricing,Private sector with carbon market
Switzerland,CHE,High,High,98767.57,Exception,-0.50,4213.50,62.00,Efficiency frontier + finance innovation,Private banking sector leadership
China,CHN,High,Medium,12541.00,Catch-up,-1.98,8035.28,30.19,Industrial digitalization + clean tech,State-led with private participation
Colombia,COL,Medium,Medium,6630.60,Catch-up,-1.10,1374.18,70.61,Renewable digitalization + rural access,Mixed with international climate finance
Germany,DEU,High,High,51203.55,Leader,-2.06,6750.45,46.94,Green tech export + circular economy,Private sector with industrial policy
Denmark,DNK,High,High,68227.41,Potential,-1.19,4788.50,80.00,Grid optimization + energy storage,Private sector with district energy
Egypt,EGY,Medium,Low,4295.42,Catch-up,-2.15,2553.00,11.00,Solar digitalization + smart cities,Mixed with MDB support
Spain,ESP,High,High,33090.36,Leader,-2.48,4603.50,47.50,Renewable integration + green hydrogen,Private sector with EU funds
Finland,FIN,High,High,53982.62,Exception,-0.19,3665.00,55.00,Digital forestry + circular economy,Private sector with innovation focus
France,FRA,High,High,46000.00,Leader,-3.40,4488.00,25.00,Nuclear + digital optimization,Mixed with state leadership
United Kingdom,GBR,High,High,48912.00,Leader,-2.33,5080.00,43.00,Smart grid + offshore wind digitalization,Private sector with regulatory push
Indonesia,IDN,Medium,Low,4788.00,Catch-up,-0.92,2140.00,14.00,Island grid digitalization + geothermal,Mixed with climate finance
India,IND,Medium,Medium,2480.00,Catch-up,-1.06,1916.00,24.00,Rural electrification + smart agriculture,Mixed with international support
Ireland,IRL,High,High,103175.00,Exception,-2.05,7400.00,37.00,Data center efficiency + green tech,Private sector with FDI focus
Italy,ITA,High,High,37000.00,Leader,-2.74,5030.00,42.00,Industrial digitalization + Mediterranean solar,Private sector with EU coordination
Japan,JPN,High,High,33815.00,Leader,-2.55,8500.00,22.00,Smart manufacturing + hydrogen economy,Mixed with industrial policy
South Korea,KOR,High,High,33147.00,Leader,-2.71,11600.00,9.00,Smart city + battery technology,Private sector with state support
Mexico,MEX,Medium,Medium,11091.00,Catch-up,-2.59,2770.00,21.00,Grid modernization + distributed solar,Mixed with NAFTA green trade
Malaysia,MYS,High,Medium,11971.00,Catch-up,-2.26,6900.00,8.00,Smart manufacturing + palm oil efficiency,Mixed with ASEAN coordination
Nigeria,NGA,Low,Low,2184.00,Struggling,-0.98,632.00,17.00,Off-grid solar + mobile money,Mixed with development finance
Netherlands,NLD,High,High,57767.00,Potential,-1.07,7370.00,40.00,Circular economy + agri-digitalization,Private sector with innovation focus
Norway,NOR,High,High,82655.00,Potential,-0.97,7300.00,98.00,EV infrastructure + carbon capture,Private sector with sovereign wealth
New Zealand,NZL,High,High,48000.00,Leader,-2.18,6400.00,84.00,Agri-tech + renewable optimization,Private sector with Maori partnership
Pakistan,PAK,Low,Low,1588.00,Struggling,-0.95,853.00,28.00,Micro-grid + climate adaptation,Donor-funded with local capacity
Peru,PER,Medium,Medium,7126.00,Catch-up,-1.10,1540.00,60.00,Rural connectivity + mining efficiency,Mixed with green mining standards
Philippines,PHL,Medium,Low,3498.00,Catch-up,-0.94,1210.00,24.00,Island interconnection + disaster resilience,Mixed with climate finance
Russian Federation,RUS,Medium,Low,13690.00,Catch-up,-4.10,11500.00,19.00,Industrial efficiency + district heating,State-led with efficiency focus
Saudi Arabia,SAU,High,Medium,32586.00,Catch-up,-2.30,17900.00,0.50,Smart city + solar manufacturing,Mixed with Vision 2030
Sweden,SWE,High,High,58939.00,Exception,-0.46,3220.00,60.00,District heating + data center efficiency,Private sector with environmental focus
Thailand,THA,Medium,Medium,6908.00,Catch-up,-1.96,3750.00,15.00,Smart agriculture + tourism digitalization,Mixed with ASEAN support
Turkey,TUR,Medium,Medium,10674.00,Catch-up,-1.92,4550.00,42.00,Industrial digitalization + geothermal,Mixed with EU candidacy support
United States,USA,High,High,76398.00,Leader,-2.22,14700.00,23.00,Grid modernization + clean tech innovation,Private sector with federal incentives
Vietnam,VNM,Medium,Medium,4163.00,Catch-up,-0.90,3790.00,47.00,Manufacturing efficiency + offshore wind,Mixed with international support
South Africa,ZAF,Medium,Medium,6776.00,Catch-up,-2.22,7400.00,11.00,Just transition + renewable integration,Mixed with climate justice focus
