country,Abs_Residual,CATE,CATE_Linear_Pred,GDP_per_capita_constant
USA,0.04018467560051011,0.011080421151819753,-0.02903396769992096,55129.69846195632
CAN,0.037774844992109695,0.009518805688645708,-0.028256039303463987,42203.135080784756
RUS,0.029704372123337864,-0.03749931999775309,-0.007794947874415225,8582.165608723959
KOR,0.029303963520784505,-0.050341547150443124,-0.021037583629658626,27374.158260108332
SAU,0.027896587105690266,0.008261808460252155,-0.01846115692267391,22764.67991599855
NZL,0.023485168843239118,-0.05151280159778451,-0.028027632754545395,37097.301961611134
BEL,0.017773640252518007,-0.04442483696712616,-0.026651196714608152,40193.74801755082
SWE,0.016963895303165062,-0.04696160287477427,-0.030035089854235242,48815.3882093934
DNK,0.012827693417313322,-0.043580379486126204,-0.03129680415824618,53408.68127594982
DEU,0.012489249482254947,-0.03833708325243588,-0.027490036743277917,39977.370970348886
