Drop_Country,Global_ATE,High_Income_GATE
ARG,-1.088048040940385,-0.36748415896763503
AUS,-1.1630125392553576,-0.5133876614267655
AUT,-0.9325624217817317,-0.1964283005029223
BEL,-1.1242090586395788,-0.6839260349144431
BGD,-1.0741261036616336,-0.5338263677144587
BRA,-0.9784653633739678,-0.3944612081962268
CAN,-0.8821476159395556,-0.2535243731329643
CHE,-0.795898964176084,-0.37305166967575076
CHN,-0.8357847315712892,-0.5263133856476186
COL,-0.8655329614180882,-0.5195281534922954
DEU,-0.8105820681299015,-0.47205409639356094
DNK,-0.9643066276457128,-0.8612952659331569
EGY,-0.7209583968273325,-0.3895822793829291
ESP,-0.6742303131489101,-0.4225605750459893
FIN,-0.7273416154381971,-0.5476690245060881
FRA,-0.8837843640266873,-0.8285190712331935
GBR,-1.000695706676245,-0.7905281353878143
IDN,-0.8853743204791156,-0.6621878660353718
IND,-0.9066384594547573,-0.723526262548647
IRL,-0.8567283364083966,-0.6323591918997761
ITA,-1.0049198366499628,-0.9033704432120813
JPN,-1.0728388159806546,-1.0417700826766991
KOR,-1.1731760769673034,-1.1235330045051448
MEX,-1.046901590285836,-0.9888027509004509
MYS,-1.214883440719777,-1.0488359096050874
NGA,-1.0747509519043865,-0.9796390924887465
NLD,-1.1863672479543435,-1.0476630075517017
NOR,-1.1951956240678554,-1.2249804411063148
NZL,-1.065206289149365,-0.9996982014136989
PAK,-1.0306495779404679,-1.044490282830147
PER,-1.1355058514193361,-1.0437325261042205
PHL,-1.091212687057331,-0.9763457053837489
RUS,-0.907321655202982,-0.7301070081994878
SAU,-1.173346355558316,-0.790128836050125
SWE,-1.2027352694566071,-0.8280513271331975
THA,-1.1490371080029942,-0.694634641243781
TUR,-1.317389510285725,-0.7980555922651951
USA,-1.2393436494082868,-0.828951260669825
VNM,-0.9505472268002257,-0.6705516301856057
ZAF,-0.8168538859719144,-0.5443408216437114
